time_s,source,accepted,diversity_score,objective,pool_best_obj
8.40484,hgs_child,1,0.293506,34863.8,26011.1
8.4241,worker_0,1,0.142857,27850.6,26011.1
8.43843,worker_0,0,0.0701299,27836.2,26011.1
8.45412,worker_0,1,0.111688,27816.4,26011.1
8.46352,worker_2,1,0.314286,35878.4,26011.1
8.49815,worker_0,0,0.0519481,27782,26011.1
8.50593,hgs_child,1,0.768831,39106.1,26011.1
8.50679,worker_0,1,0.111688,27751.9,26011.1
8.52963,worker_0,0,0.0675325,27710,26011.1
8.56042,worker_0,0,0.0675325,27705.7,26011.1
8.56837,worker_0,0,0.0883117,27656.7,26011.1
8.59135,worker_0,1,0.119481,27649.2,26011.1
8.59851,worker_0,0,0.0337662,27632.3,26011.1
8.60577,worker_0,0,0.0805195,27611.4,26011.1
8.60698,hgs_child,1,0.831169,37270.9,26011.1
8.67513,worker_2,1,0.324675,35876.5,26011.1
8.70413,worker_0,1,0.236364,27606.6,26011.1
8.70793,hgs_child,1,0.25974,31009.8,26011.1
8.81299,hgs_child,1,0.607792,37405.1,26011.1
8.89289,worker_2,1,0.327273,35873.2,26011.1
8.91396,hgs_child,1,0.241558,31371.8,26011.1
9.01529,hgs_child,1,0.685714,38578.6,26011.1
9.09386,worker_0,1,0.337662,27591.2,26011.1
9.10154,worker_0,0,0.0441558,27570.3,26011.1
9.11138,worker_2,1,0.32987,35871.7,26011.1
9.1163,hgs_child,1,0.451948,32975.8,26011.1
9.11638,worker_0,0,0.0935065,27547.2,26011.1
9.16172,worker_0,1,0.212987,27531.9,26011.1
9.18444,worker_0,0,0.0311688,27478.3,26011.1
9.19166,worker_0,0,0.0779221,27454.7,26011.1
9.21741,hgs_child,1,0.716883,32578.4,26011.1
9.22793,worker_0,0,0.0779221,27441.5,26011.1
9.23483,worker_0,0,0.0909091,27420.5,26011.1
9.25759,worker_0,1,0.103896,27415.7,26011.1
9.26504,worker_0,0,0.025974,27396,26011.1
9.28198,worker_1,0,0.0285714,25918.3,26011.1
9.30564,worker_1,0,0.0441558,25898.9,26011.1
9.31817,worker_2,1,0.32987,35868.9,26011.1
9.31912,hgs_child,1,0.579221,35269.2,26011.1
9.52033,hgs_child,1,0.618182,34275.5,26011.1
9.52868,worker_2,1,0.335065,35867.3,26011.1
9.62136,hgs_child,1,0.574026,36824.2,26011.1
9.72232,hgs_child,1,0.244156,33856.8,26011.1
9.7356,worker_2,1,0.345455,35830.5,26011.1
9.8234,hgs_child,1,0.18961,30631.6,26011.1
9.92449,hgs_child,1,0.722078,37373.5,26011.1
9.94104,worker_2,1,0.355844,35829.3,26011.1
9.96904,hgs_child,1,0.231169,30201.8,26011.1
10.052,worker_2,1,0.353247,35595.1,26011.1
10.07,hgs_child,1,0.275325,33082,26011.1
10.1712,hgs_child,1,0.34026,32663.9,26011.1
